Geocodigo,Nome,UF,Lat,Lon
3500105,ADAMANTINA,SP,-21.6857,-51.0729
3500204,ADOLFO,SP,-21.2355,-49.644
3500303,AGUAÍ,SP,-22.0599,-46.979
3500402,ÁGUAS DA PRATA,SP,-21.9371,-46.7171
3500501,ÁGUAS DE LINDÓIA,SP,-22.4769,-46.6332
3500550,ÁGUAS DE SANTA BÁRBARA,SP,-22.881,-49.2393
3500600,ÁGUAS DE SÃO PEDRO,SP,-22.5999,-47.8765
3500709,AGUDOS,SP,-22.4696,-48.9879
3500758,ALAMBARI,SP,-23.5513,-47.899
3500808,ALFREDO MARCONDES,SP,-21.9557,-51.4132
3500907,ALTAIR,SP,-20.5241,-49.0593
3501004,ALTINÓPOLIS,SP,-21.026,-47.3743
3501103,ALTO ALEGRE,SP,-21.581,-50.164
3501152,ALUMÍNIO,SP,-23.5355,-47.2623
3501202,ÁLVARES FLORENCE,SP,-20.3213,-49.911
3501301,ÁLVARES MACHADO,SP,-22.0799,-51.4724
3501400,ÁLVARO DE CARVALHO,SP,-22.0896,-49.7193
3501509,ALVINLÂNDIA,SP,-22.4446,-49.7635
3501608,AMERICANA,SP,-22.7396,-47.3318
3501707,AMÉRICO BRASILIENSE,SP,-21.7249,-48.1021
3501806,AMÉRICO DE CAMPOS,SP,-20.2996,-49.7321
3501905,AMPARO,SP,-22.7016,-46.7648
3502002,ANALÂNDIA,SP,-22.1269,-47.6635
3502101,ANDRADINA,SP,-20.8966,-51.3799
3502200,ANGATUBA,SP,-23.4902,-48.4132
3502309,ANHEMBI,SP,-22.7899,-48.1276
3502408,ANHUMAS,SP,-22.2957,-51.3876
3502507,APARECIDA,SP,-22.8474,-45.2301
3502606,APARECIDA DO OESTE,SP,-20.4499,-50.8801
3502705,APIAÍ,SP,-24.5099,-48.8429
3502754,ARAÇARIGUAMA,SP,-23.4391,-47.0618
3502804,ARAÇATUBA,SP,-21.2094,-50.4332
3502903,ARAÇOIABA DA SERRA,SP,-23.5058,-47.6146
3503000,ARAMINA,SP,-20.0907,-47.7862
3503109,ARANDU,SP,-23.1349,-49.0543
3503158,ARAPEÍ,SP,-22.6744,-44.4482
3503208,ARARAQUARA,SP,-21.7949,-48.176
3503307,ARARAS,SP,-22.3574,-47.3846
3503356,ARCO-ÍRIS,SP,-21.773,-50.4654
3503406,AREALVA,SP,-22.0291,-48.9115
3503505,AREIAS,SP,-22.5802,-44.6973
3503604,AREIÓPOLIS,SP,-22.6685,-48.6654
3503703,ARIRANHA,SP,-21.1882,-48.7873
3503802,ARTUR NOGUEIRA,SP,-22.5735,-47.1729
3503901,ARUJÁ,SP,-23.3966,-46.3212
3503950,ASPÁSIA,SP,-20.1593,-50.7276
3504008,ASSIS,SP,-22.6621,-50.4126
3504107,ATIBAIA,SP,-23.1174,-46.5507
3504206,AURIFLAMA,SP,-20.686,-50.5551
3504305,AVAÍ,SP,-22.1471,-49.3335
3504404,AVANHANDAVA,SP,-21.4613,-49.9501
3504503,AVARÉ,SP,-23.0991,-48.9262
3504602,BADY BASSITT,SP,-20.9185,-49.4457
3504701,BALBINOS,SP,-21.9002,-49.3571
3504800,BÁLSAMO,SP,-20.7357,-49.584
3504909,BANANAL,SP,-22.6841,-44.3237
3505005,BARÃO DE ANTONINA,SP,-23.6274,-49.5618
3505104,BARBOSA,SP,-21.2671,-49.9496
3505203,BARIRI,SP,-22.0749,-48.7407
3505302,BARRA BONITA,SP,-22.4952,-48.5585
3505351,BARRA DO CHAPÉU,SP,-24.4735,-49.0249
3505401,BARRA DO TURVO,SP,-24.7569,-48.5051
3505500,BARRETOS,SP,-20.5577,-48.5682
3505609,BARRINHA,SP,-21.1941,-48.1643
3505708,BARUERI,SP,-23.511,-46.8765
3505807,BASTOS,SP,-21.9224,-50.7343
3505906,BATATAIS,SP,-20.8916,-47.5854
3506003,BAURU,SP,-22.3152,-49.061
3506102,BEBEDOURO,SP,-20.9499,-48.4796
3506201,BENTO DE ABREU,SP,-21.271,-50.8124
3506300,BERNARDINO DE CAMPOS,SP,-23.0135,-49.4746
3506359,BERTIOGA,SP,-23.8549,-46.139
3506409,BILAC,SP,-21.4038,-50.471
3506508,BIRIGUI,SP,-21.2891,-50.3404
3506607,BIRITIBA-MIRIM,SP,-23.573,-46.039
3506706,BOA ESPERANÇA DO SUL,SP,-21.993,-48.3912
3506805,BOCAINA,SP,-22.1366,-48.5185
3506904,BOFETE,SP,-23.1027,-48.2582
3507001,BOITUVA,SP,-23.2838,-47.6726
3507100,BOM JESUS DOS PERDÕES,SP,-23.1355,-46.4657
3507159,BOM SUCESSO DE ITARARÉ,SP,-24.3183,-49.1443
3507209,BORÁ,SP,-22.2702,-50.5349
3507308,BORACÉIA,SP,-22.1935,-48.7793
3507407,BORBOREMA,SP,-21.6202,-49.074
3507456,BOREBI,SP,-22.5699,-48.9715
3507506,BOTUCATU,SP,-22.8863,-48.4454
3507605,BRAGANÇA PAULISTA,SP,-22.9524,-46.5423
3507704,BRAÚNA,SP,-21.4996,-50.316
3507753,BREJO ALEGRE,SP,-21.1669,-50.1857
3507803,BRODOWSKI,SP,-20.9919,-47.659
3507902,BROTAS,SP,-22.2846,-48.1271
3508009,BURI,SP,-23.798,-48.5932
3508108,BURITAMA,SP,-21.0666,-50.1476
3508207,BURITIZAL,SP,-20.1916,-47.7087
3508306,CABRÁLIA PAULISTA,SP,-22.456,-49.3379
3508405,CABREÚVA,SP,-23.308,-47.1332
3508504,CAÇAPAVA,SP,-23.1013,-45.7073
3508603,CACHOEIRA PAULISTA,SP,-22.6655,-45.0098
3508702,CACONDE,SP,-21.5299,-46.6443
3508801,CAFELÂNDIA,SP,-21.803,-49.6104
3508900,CAIABU,SP,-22.0127,-51.236
3509007,CAIEIRAS,SP,-23.3646,-46.741
3509106,CAIUÁ,SP,-21.8321,-51.9988
3509205,CAJAMAR,SP,-23.3566,-46.8773
3509254,CAJATI,SP,-24.7366,-48.1232
3509304,CAJOBI,SP,-20.8802,-48.8098
3509403,CAJURU,SP,-21.2757,-47.3046
3509452,CAMPINA DO MONTE ALEGRE,SP,-23.5924,-48.4776
3509502,CAMPINAS,SP,-22.906,-47.0612
3509601,CAMPO LIMPO PAULISTA,SP,-23.2069,-46.7848
3509700,CAMPOS DO JORDÃO,SP,-22.7399,-45.5918
3509809,CAMPOS NOVOS PAULISTA,SP,-22.6035,-50.0029
3509908,CANANÉIA,SP,-25.0152,-47.9271
3509957,CANAS,SP,-22.7041,-45.0557
3510005,CÂNDIDO MOTA,SP,-22.7469,-50.3874
3510104,CÂNDIDO RODRIGUES,SP,-21.3257,-48.6312
3510153,CANITAR,SP,-23.0069,-49.7838
3510203,CAPÃO BONITO,SP,-24.0063,-48.3499
3510302,CAPELA DO ALTO,SP,-23.471,-47.7351
3510401,CAPIVARI,SP,-22.9955,-47.5082
3510500,CARAGUATATUBA,SP,-23.6208,-45.4134
3510609,CARAPICUÍBA,SP,-23.523,-46.836
3510708,CARDOSO,SP,-20.0824,-49.9146
3510807,CASA BRANCA,SP,-21.7744,-47.0868
3510906,CÁSSIA DOS COQUEIROS,SP,-21.2832,-47.1701
3511003,CASTILHO,SP,-20.8727,-51.4879
3511102,CATANDUVA,SP,-21.1382,-48.9732
3511201,CATIGUÁ,SP,-21.0499,-49.0587
3511300,CEDRAL,SP,-20.9032,-49.2687
3511409,CERQUEIRA CÉSAR,SP,-23.036,-49.1665
3511508,CERQUILHO,SP,-23.1655,-47.744
3511607,CESÁRIO LANGE,SP,-23.2271,-47.9535
3511706,CHARQUEADA,SP,-22.5102,-47.7785
3557204,CHAVANTES,SP,-23.0394,-49.7099
3511904,CLEMENTINA,SP,-21.5602,-50.4496
3512001,COLINA,SP,-20.7138,-48.5412
3512100,COLÔMBIA,SP,-20.1763,-48.6893
3512209,CONCHAL,SP,-22.3308,-47.1729
3512308,CONCHAS,SP,-23.0158,-48.011
3512407,CORDEIRÓPOLIS,SP,-22.4824,-47.4571
3512506,COROADOS,SP,-21.3524,-50.2818
3512605,CORONEL MACEDO,SP,-23.6316,-49.314
3512704,CORUMBATAÍ,SP,-22.2205,-47.6262
3512803,COSMÓPOLIS,SP,-22.6463,-47.1965
3512902,COSMORAMA,SP,-20.4782,-49.7782
3513009,COTIA,SP,-23.6044,-46.9196
3513108,CRAVINHOS,SP,-21.3407,-47.7298
3513207,CRISTAIS PAULISTA,SP,-20.3977,-47.4207
3513306,CRUZÁLIA,SP,-22.736,-50.794
3513405,CRUZEIRO,SP,-22.5766,-44.9632
3513504,CUBATÃO,SP,-23.8955,-46.4257
3513603,CUNHA,SP,-23.0749,-44.9601
3513702,DESCALVADO,SP,-21.9044,-47.6198
3513801,DIADEMA,SP,-23.6866,-46.6232
3513850,DIRCE REIS,SP,-20.4666,-50.6065
3513900,DIVINOLÂNDIA,SP,-21.6619,-46.7396
3514007,DOBRADA,SP,-21.5171,-48.3943
3514106,DOIS CÓRREGOS,SP,-22.3666,-48.3807
3514205,DOLCINÓPOLIS,SP,-20.1235,-50.5137
3514304,DOURADO,SP,-22.1005,-48.3179
3514403,DRACENA,SP,-21.483,-51.5332
3514502,DUARTINA,SP,-22.4149,-49.4043
3514601,DUMONT,SP,-21.2369,-47.9737
3514700,ECHAPORÃ,SP,-22.4299,-50.201
3514809,ELDORADO,SP,-24.5205,-48.1085
3514908,ELIAS FAUSTO,SP,-23.0433,-47.3743
3514924,ELISIÁRIO,SP,-21.166,-49.1121
3514957,EMBAÚBA,SP,-20.983,-48.836
3515004,EMBU,SP,-23.6494,-46.8526
3515103,EMBU-GUAÇU,SP,-23.8327,-46.8118
3515129,EMILIANÓPOLIS,SP,-21.8335,-51.4835
3515152,ENGENHEIRO COELHO,SP,-22.4888,-47.2154
3515186,ESPÍRITO SANTO DO PINHAL,SP,-22.1163,-46.6832
3515194,ESPÍRITO SANTO DO TURVO,SP,-22.6927,-49.4307
3557303,ESTIVA GERBI,SP,-22.2719,-46.9451
3515301,ESTRELA DO NORTE,SP,-22.4885,-51.6607
3515202,ESTRELA DO OESTE,SP,-20.2882,-50.4012
3515350,EUCLIDES DA CUNHA PAULISTA,SP,-22.5618,-52.5907
3515400,FARTURA,SP,-23.3888,-49.5104
3515608,FERNANDO PRESTES,SP,-21.2649,-48.6857
3515509,FERNANDÓPOLIS,SP,-20.2843,-50.2468
3515657,FERNÃO,SP,-22.3591,-49.5212
3515707,FERRAZ DE VASCONCELOS,SP,-23.5413,-46.369
3515806,FLORA RICA,SP,-21.6763,-51.3846
